pack,issue,title,artist,deezerId,detail
"Classic TV Themes","ODD CUT","Angel Main Theme (The Sanctuary Extended Remix)","Darling Violetta","891181082","live/remix/instrumental/edit variant"
"Classic TV Themes","DUPLICATE","I Don't Want to Wait (Dawson's Creek Theme)","Paula Cole","2466745005","also present as ""I Don't Want to Wait"""
"Classic TV Themes","ODD CUT","The Facts of Life (Re-recorded / Remastered)","Gloria Loring","12747827","live/remix/instrumental/edit variant"
"Classic TV Themes","ODD CUT","Nothing's Gonna Stop Us Now (Remix)","David Pomeranz","2179517047","live/remix/instrumental/edit variant"
"Classic TV Themes","EXPLICIT","Proud Family (feat. Kenneth Cole)","Justus","458743562","Deezer explicit_lyrics = true"
"Classic TV Themes","EXPLICIT","Who Are You","The Who","540165792","Deezer explicit_lyrics = true"
"Modern TV Themes","DUPLICATE","Kids","Kyle Dixon & Michael Stein","130871170","also present as ""Kids"""
"Modern TV Themes","ODD CUT","W-V 2000 (Instrumental)","Kristen Anderson-Lopez","1252880252","live/remix/instrumental/edit variant"
"Modern TV Themes","ODD CUT","Agatha All Along (Dave Audé Remix) (From ""Agatha All Along"")","Kristen Anderson-Lopez","2979989211","live/remix/instrumental/edit variant"
"Songs from Movies","ODD CUT","Flashdance...What a Feeling (Radio Edit)","Irene Cara","62419007","live/remix/instrumental/edit variant"
"Songs from Movies","ODD CUT","True (Single Edit)","Spandau Ballet","3130319","live/remix/instrumental/edit variant"
"Songs from Movies","ODD CUT","Psycho Killer (Live) (2023 Remaster)","Talking Heads","2397688515","live/remix/instrumental/edit variant"
"Songs from Movies","ODD CUT","Live And Let Die","Guns N' Roses","1169676","live/remix/instrumental/edit variant"
"Songs from Movies","ODD CUT","Live And Let Die (Main Title)","Paul McCartney","5664761","live/remix/instrumental/edit variant"
"Songs from Movies","ODD CUT","Raindrops Keep Falling On My Head (Re-Recorded)","B.J. Thomas","1612786","live/remix/instrumental/edit variant"
"Songs from Movies","ODD CUT","Who Wants To Live Forever (Remastered 2011)","Queen","716513532","live/remix/instrumental/edit variant"
"Songs from Movies","ODD CUT","I'll Never Love Again (Film Version - Radio Edit)","Lady Gaga","561894232","live/remix/instrumental/edit variant"
"Songs from Movies","ODD CUT","Mystery Of Love (Demo)","Sufjan Stevens","3221436041","live/remix/instrumental/edit variant"
"Songs from Movies","ODD CUT","I Don’t Wanna Live Forever (Fifty Shades Darker)","ZAYN","595112162","live/remix/instrumental/edit variant"
"Songs from Movies","ODD CUT","A Little Party Never Killed Nobody (All We Got) (Paige Festival Remix)","Fergie","69272693","live/remix/instrumental/edit variant"
"Songs from Movies","EXPLICIT","Lose Yourself","Eminem","1109731","Deezer explicit_lyrics = true"
"Songs from Movies","EXPLICIT","My Shot","Lin-Manuel Miranda","107832272","Deezer explicit_lyrics = true"
"Songs from Movies","EXPLICIT","All The Stars (From ""Black Panther: The Album"")","Kendrick Lamar","456965032","Deezer explicit_lyrics = true"
"Songs from Movies","EXPLICIT","Pray For Me","The Weeknd","456011702","Deezer explicit_lyrics = true"
"Songs from Movies","EXPLICIT","King's Dead","Jay Rock","456965102","Deezer explicit_lyrics = true"
"Movie Soundtracks","ODD CUT","Love Theme from St. Elmo's Fire (Instrumental)","David Foster","6632169","live/remix/instrumental/edit variant"
"Movie Soundtracks","ODD CUT","We Don't Talk About Bruno (Instrumental)","Lin-Manuel Miranda","1550822122","live/remix/instrumental/edit variant"
"Road Trip","ODD CUT","Catch & Release (Deepend Remix)","Matt Simons","107329230","live/remix/instrumental/edit variant"
"Road Trip","ODD CUT","Dracula (JENNIE Remix)","Tame Impala","3818963601","live/remix/instrumental/edit variant"
"Road Trip","ODD CUT","One Day / Reckoning Song (Wankelmut Remix) (Radio Edit)","Asaf Avidan","705022722","live/remix/instrumental/edit variant"
"Road Trip","ODD CUT","Don't Worry (with Ray Dalton) (Radio Edit)","Madcon","520033002","live/remix/instrumental/edit variant"
"Road Trip","ODD CUT","The Days (NOTION Remix)","CHRYSTAL","3069116671","live/remix/instrumental/edit variant"
"Road Trip","ODD CUT","Money For Nothing (Single Edit) (2022 Remaster)","Dire Straits","1782778667","live/remix/instrumental/edit variant"
"Road Trip","ODD CUT","Baker Street (Radio Edit)","Gerry Rafferty","2892771012","live/remix/instrumental/edit variant"
"Road Trip","ODD CUT","The First Cut Is the Deepest (Acoustic Version)","Sheryl Crow","807082","live/remix/instrumental/edit variant"
"Road Trip","ODD CUT","Greek Tragedy (Oliver Nelson TikTok Remix)","The Wombats","1205212482","live/remix/instrumental/edit variant"
"Road Trip","ODD CUT","Love Like This (Live in Dublin / 2022)","Kodaline","1952617597","live/remix/instrumental/edit variant"
"Road Trip","ODD CUT","Left Hand Free (Live)","alt-J","1241566322","live/remix/instrumental/edit variant"
"Road Trip","EXPLICIT","Manchild","Sabrina Carpenter","3400077541","Deezer explicit_lyrics = true"
"Road Trip","EXPLICIT","Messy","Lola Young","2815968782","Deezer explicit_lyrics = true"
"Road Trip","EXPLICIT","Another Love","Tom Odell","65723649","Deezer explicit_lyrics = true"
"Road Trip","EXPLICIT","No Broke Boys","Disco Lines","3410229851","Deezer explicit_lyrics = true"
"Road Trip","EXPLICIT","Dracula (JENNIE Remix)","Tame Impala","3818963601","Deezer explicit_lyrics = true"
"Road Trip","EXPLICIT","Espresso","Sabrina Carpenter","2743578151","Deezer explicit_lyrics = true"
"Road Trip","EXPLICIT","Anxiety","Doechii","3262675101","Deezer explicit_lyrics = true"
"Road Trip","EXPLICIT","Gata Only","FloyyMenor","2638201552","Deezer explicit_lyrics = true"
"Road Trip","EXPLICIT","The Less I Know The Better","Tame Impala","103052662","Deezer explicit_lyrics = true"
"Road Trip","EXPLICIT","greedy","Tate McRae","2444176345","Deezer explicit_lyrics = true"
"Road Trip","EXPLICIT","A Bar Song (Tipsy)","Shaboozey","2729273551","Deezer explicit_lyrics = true"
"Road Trip","EXPLICIT","Paint The Town Red","Doja Cat","2387373015","Deezer explicit_lyrics = true"
"Road Trip","EXPLICIT","DESPECHÁ","ROSALÍA","1841999507","Deezer explicit_lyrics = true"
"Road Trip","EXPLICIT","Gnarly","KATSEYE","3336180251","Deezer explicit_lyrics = true"
"Road Trip","EXPLICIT","iloveitiloveitiloveit","Bella Kay","3763687462","Deezer explicit_lyrics = true"
"Road Trip","EXPLICIT","CUFF IT","Beyoncé","1842063487","Deezer explicit_lyrics = true"
"Road Trip","EXPLICIT","Sugar","Maroon 5","100052800","Deezer explicit_lyrics = true"
"Road Trip","EXPLICIT","NOKIA","Drake","3232025631","Deezer explicit_lyrics = true"
"Road Trip","EXPLICIT","Rich","Bea","3841227291","Deezer explicit_lyrics = true"
